Vendor Name,Company Name,Formation Year,Age (Years),Category,Status
IBM,International Business Machines Corporation,1911,114,Known Vendor,Active
Intel,Intel Corporation,1968,57,Known Vendor,Active
Microsoft,Microsoft Corporation,1975,50,Known Vendor,Active
Nvidia,NVIDIA Corporation,1993,32,Known Vendor,Active
Amazon,Amazon.com Inc.,1994,31,Known Vendor,Active
Google,Alphabet Inc. (Google),1998,27,Known Vendor,Active
Meta,Meta Platforms Inc.,2004,21,Known Vendor,Active
Databricks,Databricks Inc.,2013,12,Known Vendor,Active
OpenAI,OpenAI LP,2015,10,Known Vendor,Active
Hugging Face,Hugging Face Inc.,2016,9,Known Vendor,Active
ScaleAI,Scale AI Inc.,2016,9,Known Vendor,Active
AI21,AI21 Labs,2017,8,Known Vendor,Active
Runway,Runway AI,2018,7,Known Vendor,Active
Cohere,Cohere Inc.,2019,6,Known Vendor,Active
Replicate,Replicate Inc.,2019,6,Known Vendor,Active
Stability,Stability AI,2020,5,Emerging Vendor,Active
Writer,Writer Inc.,2020,5,Emerging Vendor,Active
Anthropic,Anthropic PBC,2021,4,Known Vendor,Active
Character,Character.AI,2021,4,Established Vendor,Active
Midjourney,Midjourney Inc.,2021,4,Established Vendor,Active
Perplexity,Perplexity AI,2022,3,Emerging Vendor,Active
Anyscale,Anyscale Inc.,2022,3,Emerging Vendor,Active
Together,Together AI,2022,3,Emerging Vendor,Active
Adept,Adept AI,2022,3,Established Vendor,Active
Inflection,Inflection AI,2022,3,Established Vendor,Active
Mistral,Mistral AI,2023,2,Emerging Vendor,Active
DeepSeek,DeepSeek,2023,2,Emerging Vendor,Active
